"model","signature_rank","gene","age_only_logFC","age_only_t","age_only_p_value","age_only_adj_p_value","sex_linked_flag","module","reliability_pass","weight","rank_score","training_mean","training_sd"
"age_only_de",88,"Map4k2",4.25147292551211,2.45961943384109,0.0210955511239082,0.232639981966992,FALSE,"old_high",TRUE,10.4570054300388,10.4570054300388,1.82416770895162,1.64194551714374
"age_only_de",89,"Ccl7",1.92467967229057,5.42975648384043,1.19211539767352e-05,0.0112467920779538,FALSE,"old_high",TRUE,10.4505419299356,10.4505419299356,10.7493560290836,0.938811360881656
"age_only_de",90,"Tmsb10",2.43231373689536,4.27328217855838,0.000240657111687701,0.0549228026261143,FALSE,"old_high",TRUE,10.3939629445377,10.3939629445377,6.74288033312539,1.35847134176452
"age_only_de",91,"Rgs2",4.29698931114912,2.4157058067368,0.0232617430476187,0.243189546277406,FALSE,"old_high",TRUE,10.3802620304289,10.3802620304289,2.80750430047278,1.95942496720974
"age_only_de",92,"Irak1bp1",4.00419994033349,2.539922387589,0.0176091042363122,0.222097143007328,FALSE,"old_high",TRUE,10.1703570728356,10.1703570728356,2.19639658690272,1.66407696925193
"age_only_de",93,"Cxcl2",3.18954090141062,3.16690708212067,0.00399857703988143,0.138316819598523,FALSE,"old_high",TRUE,10.1009796693908,10.1009796693908,6.44353844584073,2.50262915249884
"age_only_de",94,"Hoxa5",4.22774658014685,2.38265685096276,0.0250249890075614,0.248198344186363,FALSE,"old_high",TRUE,10.0732693533213,10.0732693533213,1.10247024036777,1.26920831698999
"age_only_de",95,"Apod",2.04625878884194,4.8765927208327,5.00457416271525e-05,0.0244974147032792,FALSE,"old_high",TRUE,9.97877071460656,9.97877071460656,10.4305629429085,1.1087967410333
"age_only_de",96,"Mir1956",3.78858914425425,2.62426823259841,0.0145289175748742,0.209112052727483,FALSE,"old_high",TRUE,9.94227413763364,9.94227413763364,1.0971676335129,0.845330041287722
"age_only_de",97,"Ltb",4.37334398120277,2.27130499938035,0.0319055850547398,0.269636139936433,FALSE,"old_high",TRUE,9.9331980485158,9.9331980485158,1.02413683561339,1.79867771961086
"age_only_de",98,"Tcf7l2",1.9692592445175,4.97592611673046,3.86465860219419e-05,0.0244974147032792,FALSE,"old_high",TRUE,9.79888850540752,9.79888850540752,7.77011101159941,0.895760520550739
"age_only_de",99,"Kdm6b",1.97366337186084,4.95914411220407,4.03709354760505e-05,0.0244974147032792,FALSE,"old_high",TRUE,9.7876810900365,9.7876810900365,8.89875017540403,1.137643460287
"age_only_de",100,"Gsta3",4.43409640505443,2.206813946259,0.0366373082283628,0.28440486726424,FALSE,"old_high",TRUE,9.78522578573101,9.78522578573101,1.65581631223842,1.56287993487973
