"mouse","young_module_score","old_module_score","raw_score","calibrated_score","gene_coverage","weighted_coverage","young_reference_center","old_reference_center","calibration_denominator","model","age","age_months","age_group","sex","n_cells","pseudobulk_library_size","pseudobulk_detected_genes"
"3_10_M",1.00246907350835,-0.511892796828703,1.51436187033705,0.986550792229297,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","3m",3,"Young","male",28,28380229,12456
"3_11_M",0.764731711724434,-0.976744354003201,1.74147606572763,1.07224441449492,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","3m",3,"Young","male",14,17415067,10153
"3_8_M",1.28475105637947,-0.300899806550655,1.58565086293013,1.0134492077707,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","3m",3,"Young","male",75,82136470,14241
"3_9_M",0.367535886766853,-0.969206124413766,1.33674201118062,0.919532131897438,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","3m",3,"Young","male",17,9599638,11393
"18_46_F",-0.623942540493214,0.621411990104649,-1.24535453059786,-0.0547319616525525,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","18m",18,"Old","female",82,97642498,13280
"18_47_F",-0.609150084716407,0.87649283153123,-1.48564291624764,-0.145396405234674,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","18m",18,"Old","female",76,89804246,13216
"18_45_M",-0.631724004826448,0.412691898706437,-1.04441590353288,0.0210852226351432,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","18m",18,"Old","male",31,108019124,11115
"18_53_M",-0.611090557322237,0.364515639918044,-0.97560619724028,0.0470481659426116,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","18m",18,"Old","male",45,87537694,12432
"24_58_M",-0.657458060802936,0.682338519296437,-1.33979658009937,-0.0903663758821676,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","24m",24,"Old","male",79,132161042,11177
"24_59_M",-0.699215471761923,0.0456185039487352,-0.744833975710658,0.134122016818155,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","24m",24,"Old","male",68,161460489,10615
"24_60_M",-0.563468112783848,0.546042235109502,-1.10951034789335,-0.00347589613166638,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","24m",24,"Old","male",91,116295606,11216
"24_61_M",-0.507728863365333,0.583357117992135,-1.09108598135747,0.0034758961316663,1,1,1.55000636663359,-1.10029816462541,2.650304531259,"factorial_stability_selected","24m",24,"Old","male",79,101230452,11634
"3_38_F",0.751088066736063,-0.569546809525712,1.32063487626177,0.963534686209948,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","3m",3,"Young","female",77,79934534,12876
"3_39_F",0.847472831221124,-0.834787048958634,1.68225988017976,1.10758492718526,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","3m",3,"Young","female",53,66348808,12415
"3_10_M",0.825757443092772,-0.512310946111604,1.33806838920438,0.970479177639522,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","3m",3,"Young","male",28,28380229,12456
"3_11_M",0.585083222237339,-0.901203836085395,1.48628705832273,1.02952082236048,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","3m",3,"Young","male",14,17415067,10153
"3_8_M",1.22906589874591,-0.402828652998772,1.63189455174469,1.08752232747764,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","3m",3,"Young","male",75,82136470,14241
"3_9_M",0.434198779489801,-0.833594591657762,1.26779337114756,0.942485722607511,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","3m",3,"Young","male",17,9599638,11393
"18_46_F",-0.585757756885566,0.676471590810642,-1.26222934769621,-0.0653272836112983,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","18m",18,"Old","female",82,97642498,13280
"18_47_F",-0.595392992267138,0.860609215362226,-1.45600220762936,-0.142515052336987,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","18m",18,"Old","female",76,89804246,13216
"18_45_M",-0.565288554284165,0.578434411635039,-1.1437229659192,-0.01812127554455,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","18m",18,"Old","male",31,108019124,11115
"18_53_M",-0.587362988874954,0.221643759277767,-0.80900674815272,0.115210079602961,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","18m",18,"Old","male",45,87537694,12432
"24_58_M",-0.638009939990375,0.724417009686475,-1.36242694967685,-0.105240145150414,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","24m",24,"Old","male",79,132161042,11177
"24_59_M",-0.65824591185692,0.0950917566293239,-0.753337668486244,0.137385383450724,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","24m",24,"Old","male",68,161460489,10615
"24_60_M",-0.497032549969676,0.555706793910054,-1.05273934387973,0.0181212755445501,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","24m",24,"Old","male",91,116295606,11216
"24_61_M",-0.545575547394222,0.341897348026351,-0.887472895420572,0.0839537579994295,1,1,1.41217772376355,-1.09823115489947,2.51040887866302,"factorial_medium_equal_weight","24m",24,"Old","male",79,101230452,11634
"3_38_F",0.601921647465919,-0.557866744534695,1.15978839200061,0.847469729573131,1,1,1.57755820387341,-1.16137230941835,2.73893051329176,"age_only_de","3m",3,"Young","female",77,79934534,12876
