Dedifferentiation,Inflam,Tumor
,Ptpn1,Pus1
,Ptpn11,Rabepk
,Ptpn2,Rcl1
,Reg1,Rrp12
,Socs1,Slc19a1
,Stam2,Slc29a2
,Stat1,Sord
,Stat2,Supv3l1
,Stat3,Tcof1
,Tgfb1,Tfb2m
,Tnfrsf12a,Tmem97
,Tnfrsf1a,Utp20
,Tnfrsf21,Wdr43
,Tyk2,Wdr74
,Adar,Abl1
,B2m,Amd1
,Batf2,Arid4a
,C1s1,Atf5
,Casp1,Atrx
,Casp8,Bcl3
,Cd47,Bub1
,Cd74,Casp8ap2
,Cmpk2,Cbx1
,Cmtr1,Ccnd1
,Cnp,Ccnf
,Ddx60,Ccnt1
,Dhx58,Cdc27
,Elf1,Cdc6
,Epsti1,Cdc7
,Gbp3,Cenpa
,Gmpr,Cenpf
,Helz2,Chaf1a
,Herc6,Chmp1a
,Ifi27,Cul3
,Ifi30,Cul4a
,Ifi35,Cul5
,Ifi44,Dbf4
,Ifi44l,Dkc1
,Ifit3,Dmd
,Ifitm2,Dr1
,Ifitm3,Dtymk
,Irf2,E2f1
,Isg15,E2f2
,Isg20,E2f3
,Lap3,E2f4
,Lgals3bp,Efna5
,Lpar6,Egf
,Mov10,Ewsr1
,Mvb12a,Exo1
,Mx2,Fancc
,Ncoa7,Fbxo5
,Nub1,Foxn3
,Oas1a,Gins2
,Oasl1,H2az2
,Ogfr,H2bc12
,Parp12,Hif1a
,Parp14,Hira
,Parp9,Hoxc10
,Plscr1,Hspa8
,Pnpt1,Incenp
,Procr,Katna1
,Psma3,Kif11
,Psmb8,Kif15
,Psmb9,Kif20b
,Psme1,Kif23
,Psme2,Kif5b
,Rnf31,Kmt5a
,Rsad2,Knl1
,Samd9l,Lig3
,Slc25a28,Map3k20
,Sp110,Mapk14
,Tdrd7,Marcks
,Tent5a,Meis1
,Tmem140,Meis2
,Trafd1,Mnat1
,Trim12c,Mtf2
,Trim14,Ncl
,Trim21,Ndc80
,Trim25,Nek2
,Trim26,Notch2
,Txnip,Nsd2
,Uba7,Numa1
,Ube2l6,Nup50
,Usp18,Nup98
,Wars1,Nusap1
,Apol6,Odf2
,Arid5b,Orc5
,Arl4a,Pafah1b1
,Auts2,Pbk
,Bank1,Pml
,Bpgm,Polq
,Casp3,Prc1
,Casp4,Prmt5
,Casp7,Prpf4b
,Cd274,Pura
,Cd86,Rad54l
,Cfb,Rasal2
,Cfh,Rbl1
,Ciita,Rps6ka5
,Eif4e3,Sap30
,Fcgr1,Sfpq
,Fgl2,Slc12a2
,Gpr18,Slc38a1
,Gzma,Slc7a1
,H2-Aa,Slc7a5
,H2-DMa,Smad3
,Ido1,Smc2
,Ifnar2,Sqle
,Il18bp,Srsf10
,Irf4,Ss18
,Irf5,Stil
,Irf8,Tent4a
,Isoc1,Tgfb1
,Itgb7,Tle3
,Jak2,Tnpo2
,Lats2,Top1
,Lysmd2,Tpx2
,Marchf1,Traip
,Mthfd2,Troap
,Mvp,Ttk
,Ncoa3,Ube2c
,Nlrc5,Uck2
,Nod1,Upf1
,Nup93,Wrn
,Oas2,Ythdc1
,Oas3,Abi1
,P2ry14,Abr
,Peli1,Actn4
,Pfkp,Akap13
,Pla2g4a,Alms1
,Pml,Als2
,Pnp,Anln
,Psma2,Apc
,Psmb10,Arap3
,Psmb2,Arf6
,Ptpn6,Arfgef1
,Rapgef6,Arfip2
,Rbck1,Arhgap10
,Ripk1,Arhgap27
,Rnf213,Arhgap29
,Samhd1,Arhgap4
,Sectm1a,Arhgap5
,Selp,Arhgdia
,Serping1,Arhgef11
,Slamf7,Arhgef12
,Sppl2a,Arhgef2
,Sspn,Arhgef3
,St3gal5,Arhgef7
,St8sia4,Arl8a
,Stat4,Atg4b
,Tmt1b,Bcar1
,Tor1b,Bcl2l11
,Upp1,Bcr
,Vamp5,Bin1
,Vamp8,Capzb
,Vcam1,Ccdc88a
,Xaf1,Cd2ap
,Xcl1,Cdc42
,Zbp1,Cdc42bpa
,Znfx1,Cdc42ep1
,Ang,Cdc42ep2
,Angpt1,Cdc42ep4
,Angptl4,Cdk5rap2
,Bex3,Cep131
,Bmp6,Cep192
,C3,Cep250
,Ccl1,Cep57
,Ccl2,Cep72
,Ccl26,Ckap5
,Ccl3,Clasp1
,Ccl4,Clip1
,Ccl8,Clip2
,Cd55,Cntrl
,Csf2rb,Cntrob
,Cst10,Cpap
,Ctnnb1,Csnk1d
,Ctsb,Cttn
,Cxcl12,Cyth2
,Cxcl16,Dlg1
,Cxcl3,Dock2
,Cxcr2,Dock4
,Dkk1,Dst
,Egf,Dync1h1
,Egfr,Dynll2
,Esm1,Ect2
,Fgf1,Epb41
,Fgf2,Epb41l2
