"gene","18-F-50","18-F-51","18-M-52","18-M-53","21-F-54","21-F-55","24-M-58","24-M-59","24-M-60","24-M-61","3-F-56","3-F-57"
"Egln2",5.19608434831131,5.52485303700679,5.29606428304241,5.03065716025,4.95060036078312,5.05990725122526,4.99939190500875,5.16098046334332,5.24347640930218,5.16015344689073,4.98977812717208,5.05067836082002
"Rab4b",5.55986482031999,5.45726851054667,5.3666957482963,5.38720663315509,5.16402424404384,5.21924195151185,5.00728820299177,5.15509571647561,5.05434051560407,5.01247914557981,5.19165517906816,5.52456512939711
"Mia1",0.524627422540264,2.74599733440609,-0.947194383998866,-1.36879644547216,-0.872356686803803,-0.925971018154144,-1.36879644547216,-0.559595922005026,-1.36879644547216,-1.36879644547216,0.741623439016966,0.358632438502381
"Snrpa",5.13264651377337,4.90143182411078,5.89232936650216,5.80279113354641,5.39967162810396,5.42009079548381,5.3799624926532,5.41846548605143,5.04306917420085,5.28340583698895,5.24848682547246,5.30699228880709
"BC024978",-1.36879644547216,0.841531739621085,0.76678472152133,0.524910181284566,0.241733330525661,-0.313745717491097,0.123561352011041,-0.27905408656736,0.217835950429058,-0.0483427471131454,-0.092554302595192,-0.113704913855312
"Itpkc",6.85842220310586,6.55155078737029,6.66467855607445,6.72793267851576,6.85611428541116,6.57803035906063,6.73363123592306,6.62061970781096,6.80529281753412,6.93595396552677,6.94464080787024,6.89558921415814
"Adck4",4.19062497949202,3.85145818068756,4.75844603396191,4.2028215971527,4.25956578067649,4.16312247431399,4.27402265179811,4.03628403533784,4.10397117182056,4.17569247403187,4.26998681822787,4.24816482587176
"Numbl",5.59166573357923,5.33707715448072,5.74101641873954,5.81439223330016,5.38876003512358,5.26171103085646,5.27921237550217,5.41354427336033,5.41066613176009,5.73989885506897,5.50324346096682,5.49050602222159
"Ltbp4",9.1446897799227,9.21404907708846,8.51212493401464,8.68553626145942,9.21297316784028,9.24137835599152,8.51178440899921,8.55231434387375,8.42432485986485,8.67757512521259,9.27153119553797,9.21419376944458
"Shkbp1",2.62518338150546,3.02028361099912,2.74322611567424,2.80683111745519,2.97491066915315,2.6710737688884,2.35814563984548,2.37665202080941,2.72102333344625,2.4868960475097,2.60341376959973,2.69447578065202
"Blvrb",6.59373538672437,6.11310356563701,6.67399295359145,7.11792241248022,7.02241812315754,7.08473608680611,7.06400421601912,7.12082049167458,6.70158082125485,6.74639734839275,6.87415577110947,6.88470357989624
"Sertad3",3.75798997909457,3.02028361099912,2.46279201869788,3.50515557766539,3.19130920980007,3.45413991501507,3.74179461871348,3.16670195230386,3.5878232732052,3.68410181561358,3.43955670617491,3.250381155392
"Sertad1",7.55095556884913,7.67790653829658,7.65817296242928,7.34018611277464,7.59708712210223,7.95099404068731,7.89532792783098,7.50778723315581,7.91679201008136,7.90079589298557,7.56980404257799,7.52808162432769
"Prx",2.49670611100053,1.31864682612248,0.386475171283681,0.798514816584193,1.1989278467629,0.58506848679986,0.976128370652386,0.492301605388292,1.13576642600701,1.436451734275,0.16531341604609,0.358632438502381
"Pld3",5.11086516732632,5.25984221142804,5.64954779252823,5.88943669632085,5.19567262589564,5.42943520814334,5.53001454782797,5.53180262859816,5.16246024120822,5.11258865515536,5.5716548708741,5.53574179715606
