"gene","direction","module","adjusted_logFC","age_rho","reliability","weight","equal_weight","training_mean","training_sd","FDR","pi_LOMO","pi_depth","pi_sex","q_g","primary_model","weighting"
"Col22a1","young_high","young_module",1.42139175003573,-0.698741034785835,1,1,1,4.82937915296316,0.742680076097143,0.585977606446923,1,1,1,0.993184742256015,TRUE,"equal_weight_sensitivity"
"Shroom2","young_high","young_module",1.26117567364184,-0.786083664134064,1,1,1,-0.319463007417872,0.661353448301942,0.87060591946395,1,1,1,0.991389594653124,TRUE,"equal_weight_sensitivity"
"Tmem180","young_high","young_module",1.45932204204912,-0.676905377448778,1,1,1,0.442340623633458,0.760500845822097,0.723694512279891,1,1,1,0.987822937692581,TRUE,"equal_weight_sensitivity"
"Postn","young_high","young_module",1.12477327299129,-0.873426293482294,1,1,1,7.01752821248884,0.7191158085567,0.74801595287595,1,1,1,0.982406550836731,TRUE,"equal_weight_sensitivity"
"Col3a1","young_high","young_module",1.13177348093472,-0.851590636145236,1,1,1,10.6140090996504,0.933906869322663,0.846622404245472,1,1,1,0.963807698601506,TRUE,"equal_weight_sensitivity"
"Wif1","young_high","young_module",1.46555772637083,-0.65506972011172,1,1,1,6.11418052853411,1.09888726504127,0.0584291816344544,1,1,1,0.960042489621308,TRUE,"equal_weight_sensitivity"
"Uts2r","young_high","young_module",1.2548779517576,-0.764248006797007,1,1,1,1.73858660121906,1.27117115106253,0.723694512279891,1,1,1,0.959037973404257,TRUE,"equal_weight_sensitivity"
"Ptprt","young_high","young_module",2.18026964620544,-0.43019174220914,1,1,1,-0.637811423735617,0.843969968395933,0.74801595287595,1,1,1,0.937933997586824,TRUE,"equal_weight_sensitivity"
"Ptx4","young_high","young_module",1.2926117555643,-0.720576692122892,1,1,1,5.94817217341754,0.590861999529445,0.0161189980870152,1,1,1,0.931425903023688,TRUE,"equal_weight_sensitivity"
"Ccdc114","young_high","young_module",1.24581506180051,-0.74241234945995,1,1,1,-0.186147431120901,0.6433331093171,0.877904312935791,1,1,1,0.92490848702391,TRUE,"equal_weight_sensitivity"
"Frem1","young_high","young_module",1.11402469266626,-0.829754978808179,1,1,1,0.750798251990865,0.835657239178972,0.844916537086591,1,1,1,0.924367535255081,TRUE,"equal_weight_sensitivity"
"Net1","young_high","young_module",1.17086936215322,-0.786083664134064,1,1,1,1.18909465928266,0.569490190426546,0.723694512279891,1,1,1,0.920401278423718,TRUE,"equal_weight_sensitivity"
"Evl","young_high","young_module",1.16588357626521,-0.786083664134064,1,1,1,2.7763706282844,0.59892533631184,0.354353409021144,1,1,1,0.916482033584283,TRUE,"equal_weight_sensitivity"
"Col11a1","young_high","young_module",1.02195670788612,-0.895261950819351,1,1,1,4.91162930641129,0.828604467564218,0.730682993233502,1,1,1,0.91491895595505,TRUE,"equal_weight_sensitivity"
"D0H4S114","young_high","young_module",1.1900944394161,-0.764248006797007,1,1,1,4.48938548745525,1.14328918959881,0.924574506499367,1,1,1,0.909527303223956,TRUE,"equal_weight_sensitivity"
"Col28a1","young_high","young_module",1.53091693563266,-0.59059616300074,1,1,1,0.225357415010176,0.918496136765198,0.74801595287595,1,1,1,0.9041536680575,TRUE,"equal_weight_sensitivity"
"Etv4","young_high","young_module",1.2010924300131,-0.74241234945995,1,1,1,3.29455352920474,0.638893973654289,0.52316294124906,1,1,1,0.891705852884586,TRUE,"equal_weight_sensitivity"
"Arxes1","young_high","young_module",1.30777358602211,-0.678091890852701,1,1,1,-0.194736304706703,0.772080193464844,0.818324695780031,1,1,1,0.88679066375295,TRUE,"equal_weight_sensitivity"
"Retnlg","old_high","old_module",-5.28231647533237,0.711286759159019,1,1,1,0.68700276467522,2.08247154230463,0.895162813090579,1,1,1,3.75724176659145,TRUE,"equal_weight_sensitivity"
"Sytl3","old_high","old_module",-4.67867146182157,0.699965822815691,1,1,1,-0.252386986346324,0.839407819760506,0.74801595287595,1,1,1,3.27491011945823,TRUE,"equal_weight_sensitivity"
"Cx3cr1","old_high","old_module",-7.12760275668555,0.400098802026948,1,1,1,0.547120130860626,1.74642044404591,0.74801595287595,1,1,1,2.85174532427386,TRUE,"equal_weight_sensitivity"
"Cpne7","old_high","old_module",-4.93071195895094,0.505769421703574,1,1,1,0.515973009670469,1.3077403422803,0.663939496575369,1,1,1,2.49380333606551,TRUE,"equal_weight_sensitivity"
"Ctrb1","old_high","old_module",-4.89022957085335,0.505769421703574,1,1,1,-0.222899785214639,1.29095913686039,0.87085626143883,1,1,1,2.47332858204822,TRUE,"equal_weight_sensitivity"
"Ube2c","old_high","old_module",-5.5143868125875,0.373829572563511,1,1,1,0.190736767950915,1.35716481476759,0.788689217339796,1,1,1,2.06144086509945,TRUE,"equal_weight_sensitivity"
