"model","signature_rank","gene","age_only_logFC","age_only_t","age_only_p_value","age_only_adj_p_value","female_logFC","female_t","male_logFC","male_t","common_logFC","common_t","common_p_value","common_adj_p_value","interaction_logFC","interaction_t","sex_linked_flag","female_direction","male_direction","common_direction","age_only_direction","sex_direction_concordant","age_only_common_concordant","interaction_ratio","interaction_penalty","reliability_pass","module","weight","rank_score","training_mean","training_sd"
"factorial_large_original",148,"Acp6",3.76849732361875,2.44883599397253,0.0215034566508386,0.227036043040732,4.02389332493359,1.66606034345739,3.6169058178439,1.92876085738954,3.82039957138875,2.49883277219235,0.0201957018517938,0.285390783107334,-0.406987507089688,-0.133100439048957,FALSE,1,1,1,1,TRUE,TRUE,0.0532650376249397,0.949428647375356,TRUE,"old_high",9.06375822877665,9.06375822877665,2.64595099357139,1.59893364650389
"factorial_large_original",149,"Chaf1b",3.05440740136851,1.69115962206791,0.102947084245482,0.411399465329923,8.62147745922231,3.89346022600942,1.05172770123701,0.562068519115158,4.83660258022966,3.33665361758172,0.00291533250932856,0.1550066762551,-7.5697497579853,-2.61109244507854,FALSE,1,1,1,1,TRUE,TRUE,0.782548167837856,0.560994658120768,TRUE,"old_high",9.05336965772043,9.05336965772043,0.395383089751687,0.767001591227342
"factorial_large_original",150,"Rgs2",4.87945929110076,2.20054812132763,0.0369971019892769,0.276560707282331,5.9380143148586,1.44420996665896,4.26665740029011,1.54255579765646,5.10233585757435,2.05931009418653,0.0511746904798231,0.361396969170656,-1.67135691456848,-0.33728102786981,FALSE,1,1,1,1,TRUE,TRUE,0.163783490291401,0.859266356966113,TRUE,"old_high",9.02856229108546,9.02856229108546,3.12670337123606,2.32341994386734
"factorial_large_original",151,"Dmkn",5.49713754825468,1.89159551412366,0.0699102485528926,0.351025336252107,10.2322951218626,2.17492965175102,2.41397132310274,0.818072260125001,6.32313322248265,2.27718269393984,0.0325793593481577,0.31386903212269,-7.81832379875981,-1.40782670740279,FALSE,1,1,1,1,TRUE,TRUE,0.61823172985895,0.617958467596704,TRUE,"old_high",8.89794043710206,8.89794043710206,3.69278438782763,2.86338461417914
"factorial_large_original",152,"Hoxa7",4.32973399203195,2.38389931760772,0.0248435351442681,0.240922336666775,6.10637456218872,2.29116391390654,2.98162225793662,1.33670659944926,4.54399841006267,2.61492160517248,0.0156159781086264,0.264218240130035,-3.12475230425211,-0.899096079468988,FALSE,1,1,1,1,TRUE,TRUE,0.343832862430089,0.744140159060907,TRUE,"old_high",8.84202191249838,8.84202191249838,1.41098362058037,1.43529781668017
"factorial_large_original",153,"Cmya5",4.17449677923714,2.34697104195214,0.0269490322440915,0.248949429329578,5.71754698328416,2.13488995614685,3.17118694523176,1.43312834182564,4.44436696425796,2.55862923452036,0.017699569856661,0.27722139925311,-2.5463600380524,-0.732971791862717,FALSE,1,1,1,1,TRUE,TRUE,0.286470466104623,0.777320604201631,TRUE,"old_high",8.83929133493385,8.83929133493385,1.21981317983512,1.38492576358963
"factorial_large_original",154,"Tgtp2",4.56472670812921,2.50233100619088,0.0190683391975812,0.21555387213382,4.22657151974158,1.49703783978957,3.92584599328827,1.70711147606319,4.07620875651492,2.23883131878156,0.0353241555511372,0.319763374204297,-0.300725526453316,-0.0825857760479853,FALSE,1,1,1,1,TRUE,TRUE,0.0368878911175466,0.964424417110524,TRUE,"old_high",8.80128305495147,8.80128305495147,1.73817443073649,1.72173911728917
"factorial_large_original",155,"Ddx28",3.22157610018812,1.62727279405982,0.115926624955817,0.430893628414372,8.57706946462411,3.57800155096696,1.30224435963046,0.615663246423785,4.93965691212729,3.09023859513681,0.00523773895234294,0.185370866160208,-7.27482510499366,-2.27555736281288,FALSE,1,1,1,1,TRUE,TRUE,0.736369397514626,0.575914319517127,TRUE,"old_high",8.79116993102931,8.79116993102931,0.641703159783611,1.25652462253714
"factorial_large_original",156,"Foxf2",4.71822293415305,2.75862500319537,0.0105676378995035,0.178566696123149,3.32257794529725,1.1754090500205,5.33254270278777,2.61387688609965,4.32756032404251,2.48279854330332,0.0209187349983235,0.28715102299997,2.00996475749052,0.576576315327576,FALSE,1,1,1,1,TRUE,TRUE,0.232228365956617,0.811537883421203,TRUE,"old_high",8.71953670718231,8.71953670718231,0.913412668095617,1.2933003800551
"factorial_large_original",157,"Dcxr",4.44693291085835,2.6082488890813,0.0149828398618687,0.203018269529789,3.55156968765256,1.26532669043577,4.94686341311825,2.26232400825469,4.24921655038541,2.3885106828807,0.0256797141378026,0.301507213690021,1.39529372546569,0.392151580122333,FALSE,1,1,1,1,TRUE,TRUE,0.164182449251343,0.858971891083803,TRUE,"old_high",8.71796266212035,8.71796266212035,3.13248905151207,1.95008420888568
"factorial_large_original",158,"B9d2",3.07230687982768,2.51156234509256,0.0186748775126898,0.214986794928987,2.83333466043838,2.28579582606141,3.56952162298843,2.08690088804919,3.20142814171341,3.03113754983636,0.00601760038426299,0.194798559218731,0.736186962550045,0.348513826815292,FALSE,1,1,1,1,TRUE,TRUE,0.114977880961925,0.896878778561301,TRUE,"old_high",8.70328391185521,8.70328391185521,4.42502478032536,1.83513685936127
