"gene","3_38_F","3_39_F","3_10_M","3_11_M","3_8_M","3_9_M","18_46_F","18_47_F","18_45_M","18_53_M","24_58_M","24_59_M","24_60_M","24_61_M"
"Six5",324,67,138,2,395,24,699,168,42,251,1486,0,1092,0
"Six6",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ska1",0,0,0,0,0,0,9,19,0,0,0,0,0,0
"Skap1",0,25,5,0,10,1,6,0,630,1,0,0,58,0
"Skap2",561,1068,539,504,1036,230,2871,1596,626,3577,1653,1095,431,534
"Ski",3905,2888,1262,1606,6864,487,4430,7219,7644,2603,9264,12278,10688,5199
"Skil",35098,19844,9188,5438,21422,1374,49825,70022,25745,4318,60694,35893,47361,32266
"Skint1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skint10",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Skint11",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Skint2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skint3",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Skint4",0,0,0,2,2,0,0,0,0,0,0,0,0,0
"Skint5",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Skint6",0,0,0,0,0,0,0,0,0,0,39,0,0,0
"Skint7",0,0,0,0,0,0,0,0,0,0,0,6,0,0
"Skint8",0,0,0,0,0,0,0,0,0,6,0,0,0,0
"Skint9",0,0,0,0,0,0,1,0,0,0,0,44,0,0
"Skiv2l",471,319,893,222,2607,72,554,1244,1152,4637,850,198,289,131
"Skiv2l2",75,259,684,470,2911,149,867,1181,1685,147,1271,1402,1186,24
"Skor1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skor2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skp1a",10507,9128,6860,3995,12309,1777,13685,8949,17434,15629,18134,9022,9215,6943
"Skp2",0,6,0,0,165,0,0,0,0,0,0,0,0,0
"Sla",3,4,3,1,8,1,25,32,643,6,0,0,11,0
"Sla2",7,6,1,0,8,0,4,146,4,19,13,5,0,10
"Slain1",0,1,0,8,0,0,0,2,0,3,0,30,173,0
"Slain2",1114,2247,957,842,2992,95,889,3247,5157,647,375,0,2179,1450
"Slamf1",0,0,3,0,0,0,0,3,15,0,0,4,21,0
"Slamf6",4,0,0,0,1,0,3,0,0,5,0,0,0,0
"Slamf7",2,0,0,0,1,0,0,0,0,0,0,0,0,0
"Slamf8",0,0,0,0,0,2,90,0,0,20,0,0,0,0
"Slamf9",2,0,1,0,28,0,0,0,0,0,0,0,0,0
"Slbp",8307,9164,1600,1332,6818,671,12212,8354,6838,4885,5449,7267,13945,8786
"Slc10a1",321,291,226,2,309,132,100,207,581,11,92,95,1,90
"Slc10a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc10a3",2366,566,136,425,1957,120,1531,1400,741,1085,137,116,1558,1048
"Slc10a4",0,22,0,0,0,0,0,0,0,0,0,0,0,0
"Slc10a5",0,0,0,0,0,0,0,0,0,0,0,0,50,0
"Slc10a6",54242,42726,16978,6578,46038,2716,37447,36745,16316,43734,24613,34430,61326,61591
"Slc10a7",91,365,13,61,922,114,64,175,0,17,1928,0,289,369
"Slc11a1",3,1,632,0,1,0,24,8,4,7,1543,0,95,0
"Slc11a2",992,1939,190,173,2982,320,1330,1399,34,685,3853,166,1051,218
"Slc12a1",2,0,73,0,0,0,0,0,0,0,0,0,3,0
"Slc12a2",83,202,272,57,771,9,61,1711,679,83,158,0,1877,67
"Slc12a3",0,0,0,0,0,0,0,0,0,0,125,0,0,0
"Slc12a4",1033,1648,2437,1281,9130,375,2952,4755,5308,657,1923,8232,282,1857
"Slc12a5",0,57,140,0,143,0,1,90,0,0,0,0,0,1280
"Slc12a6",1503,315,182,1033,1570,143,1130,448,3998,1600,2043,0,49,1532
"Slc12a7",0,0,4,0,0,1,0,5,0,0,0,0,0,1
"Slc12a8",578,671,7,0,911,72,906,321,0,120,912,429,871,439
"Slc12a9",136,177,715,179,1389,0,584,729,7,72,1018,115,0,390
"Slc13a1",0,0,0,0,0,0,38,0,0,0,0,0,0,0
"Slc13a2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc13a3",0,0,0,0,0,0,6,0,0,0,0,0,0,0
"Slc13a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc13a5",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Slc14a1",1,0,0,0,0,0,0,1232,0,0,55,0,0,0
"Slc14a2",0,0,0,1,0,0,1,0,5,1,0,0,70,0
"Slc15a1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc15a2",0,0,0,0,0,0,77,178,0,0,2,0,0,423
"Slc15a3",5,312,112,0,30,0,0,3,140,33,134,1,7,1
"Slc15a4",1398,953,694,6,1512,52,397,535,19,307,41,21,308,484
"Slc15a5",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc16a1",3566,3803,1728,832,11214,465,2421,4543,3117,1305,2478,1777,3054,2018
"Slc16a10",664,82,293,0,1288,48,38,791,14,189,2428,1,693,202
"Slc16a11",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"Slc16a12",0,0,0,0,2,0,3,0,0,0,0,0,0,0
"Slc16a13",0,1,0,0,0,0,3,7,0,0,0,0,0,1
"Slc16a14",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Slc16a2",3178,2649,1402,332,3883,502,2485,6592,321,10148,5985,1840,3372,2555
"Slc16a3",225,562,83,0,321,42,1110,916,23,304,3,370,48,2761
"Slc16a4",29,16,21,58,8,0,0,1,0,0,0,0,1,0
"Slc16a5",0,0,5,0,77,174,0,0,0,0,0,0,0,0
"Slc16a6",1,99,0,0,50,0,6,653,3,128,0,244,0,0
"Slc16a7",0,3,0,0,111,27,0,0,1083,0,20,0,16,0
"Slc16a8",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc16a9",249,241,358,676,3419,265,292,1370,1,266,326,442,0,88
"Slc17a1",0,0,0,0,0,0,203,0,0,0,0,0,0,0
"Slc17a2",0,0,1,0,0,0,0,0,0,0,0,7,0,0
"Slc17a3",0,0,128,0,208,0,10,0,0,0,0,0,0,0
"Slc17a4",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc17a5",1433,165,588,389,811,229,757,1531,1511,36,855,400,2231,2643
"Slc17a6",0,0,0,0,0,0,0,0,16,0,0,0,0,0
"Slc17a7",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Slc17a8",0,0,0,0,0,0,0,0,0,0,2,0,5,0
"Slc17a9",0,0,49,0,3,0,1,110,44,2,30,0,0,0
"Slc18a1",0,0,0,0,62,0,179,0,161,0,47,0,0,0
"Slc18a2",108,166,127,41,1165,194,4,883,77,9,4,0,0,67
"Slc18a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc19a1",173,883,1,0,646,56,854,92,157,624,2103,0,3021,533
"Slc19a2",186,10,75,32,770,30,30,699,0,55,6,0,490,338
"Slc19a3",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc1a1",0,2,0,0,13,0,0,1,629,0,0,0,0,0
"Slc1a2",88,22,7,4,254,0,0,0,0,96,1205,695,0,0
"Slc1a3",710,313,3,1,749,7,362,731,0,677,5,79,51,737
"Slc1a4",225,0,257,196,630,41,86,157,173,38,0,0,0,475
"Slc1a5",8840,10176,7084,4311,26334,1286,14941,24754,9632,13006,19513,12691,15163,22746
"Slc1a6",7,6,9,0,0,0,0,19,631,14,3,2,0,0
"Slc1a7",169,91,0,0,0,0,0,0,0,0,4,0,46,405
"Slc20a1",497,950,221,389,1070,39,915,712,137,142,109,175,48,278
"Slc20a2",1,64,113,69,705,60,58,955,4,78,31,164,549,47
"Slc22a1",0,0,1,1,0,0,13,0,0,2,0,0,0,0
"Slc22a12",0,0,0,0,0,0,27,0,0,0,0,0,0,0
"Slc22a13",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Slc22a13b",0,0,24,0,0,0,0,0,0,0,0,0,0,0
"Slc22a14",0,0,0,0,9,0,0,480,0,0,0,0,0,0
"Slc22a15",245,12,94,731,494,8,56,26,5104,468,0,132,3,296
"Slc22a16",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc22a17",898,2819,379,173,1258,140,613,1081,198,1583,204,1102,1913,2574
"Slc22a18",1007,400,42,409,87,0,767,239,2186,279,1837,988,0,0
"Slc22a19",0,0,0,0,0,0,0,0,4,0,0,0,0,0
"Slc22a2",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Slc22a20",0,0,0,0,0,0,0,16,0,0,0,0,0,0
"Slc22a21",1491,751,194,21,878,70,412,951,0,223,286,412,334,738
"Slc22a22",0,0,7,0,1,0,0,0,135,0,0,0,0,0
"Slc22a23",0,0,18,0,64,0,0,0,9,0,21,144,0,0
"Slc22a26",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"Slc22a27",0,0,0,0,0,0,3,0,0,21,0,0,0,0
"Slc22a28",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc22a29",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc22a3",0,0,0,0,0,0,0,19,0,0,0,0,0,0
"Slc22a30",0,0,0,0,0,0,7,0,0,0,0,0,0,0
"Slc22a4",752,85,205,0,505,48,0,24,0,370,0,26,0,457
"Slc22a5",309,2123,731,30,2668,57,605,1370,17,168,2478,73,144,1472
"Slc22a6",0,0,0,0,0,0,17,0,0,0,0,0,0,0
"Slc22a7",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc22a8",0,0,0,1,0,0,34,0,0,0,0,0,0,0
"Slc23a1",0,333,0,0,256,0,0,11,0,83,0,0,24,0
"Slc23a2",909,387,92,118,1325,151,45,620,16,205,552,55,1633,1230
"Slc23a3",63,65,0,0,0,0,0,0,0,0,0,0,0,0
"Slc24a1",80,27,0,0,78,0,1,0,0,13,0,5,0,0
"Slc24a2",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"Slc24a3",33,36,57,0,168,14,243,0,0,148,240,84,0,0
"Slc24a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slc24a5",16,152,232,12,109,0,146,138,8,379,120,1,175,8
"Slc24a6",863,538,396,621,1047,260,719,4139,2075,209,166,285,1072,2383
"Slc25a1",1017,3645,1336,1421,2311,66,2624,2571,398,1700,967,1295,4149,909
"Slc25a10",750,273,0,0,122,1,694,898,26,710,1091,0,1,1267
"Slc25a11",4093,3521,2270,1109,2956,817,10585,2425,3119,12529,14746,2257,7696,6807
"Slc25a12",2112,1170,1087,808,4699,112,1253,2666,50,514,1262,2083,3104,1198
"Slc25a13",0,0,0,0,11,0,18,3,0,0,2,0,0,0
"Slc25a14",501,104,41,0,326,0,865,385,256,0,545,33379,1956,1167
"Slc25a15",4,158,0,28,544,19,731,878,81,0,0,0,64,88
"Slc25a16",852,133,328,86,616,196,135,82,55,3,573,78,2844,37
"Slc25a17",9597,6769,2273,3169,4675,619,7028,6735,3295,5129,1798,1107,7168,6019
